Country Name,Country Code,Time,ID,Region,EAP,EECA,LAC,MENA,NAM,SA,SSA,WE,Pop,y,FinInc,GPI,FemLit,ChldMort,Waste,MSExpShr,inflation,Polity2,GINI,MedPov,NRR,ImpWat
Pakistan,PAK,2017,PAK2017,SA,0,0,0,0,0,1,0,0,..,1178.80,13.04,0.82,44.28,78.80,10.50,7.72,3.75,7.00,30.70,39.70,1.22,91.40
Palau,PLW,2017,PLW2017,EAP,1,0,0,0,0,0,0,0,..,10909.90,..,1.01,96.34,15.90,..,56.40,..,..,..,..,0.00,95.30
Panama,PAN,2017,PAN2017,LAC,0,0,1,0,0,0,0,0,..,10982.37,43.66,0.99,93.49,16.40,1.20,22.99,0.75,9.00,51.00,7.00,0.19,94.70
Papua New Guinea,PNG,2017,PNG2017,EAP,1,0,0,0,0,0,0,0,..,2436.18,..,0.93,50.92,54.30,14.30,4.38,6.01,5.00,41.80,65.60,23.58,40.00
Paraguay,PRY,2017,PRY2017,LAC,0,0,1,0,0,0,0,0,..,3925.56,21.72,1.01,94.34,19.90,2.60,6.65,4.09,9.00,48.00,7.40,2.20,98.00
Peru,PER,2017,PER2017,LAC,0,0,1,0,0,0,0,0,..,6089.40,28.98,1.00,91.19,15.30,0.60,5.69,3.60,9.00,44.30,9.30,6.29,86.70
Philippines,PHL,2017,PHL2017,EAP,1,0,0,0,0,0,0,0,..,2753.35,31.29,1.01,96.79,27.10,7.90,25.95,1.77,8.00,40.10,33.70,1.64,91.80
Poland,POL,2017,POL2017,EECA,0,1,0,0,0,0,0,0,..,15065.97,77.86,1.00,98.25,4.70,..,45.07,-0.61,10.00,32.10,0.30,0.85,98.30
Portugal,PRT,2017,PRT2017,WE,0,0,0,0,0,0,0,1,..,22426.29,87.39,1.00,92.86,3.50,..,35.01,0.61,10.00,35.60,1.50,0.26,100.00
Puerto Rico,PRI,2017,PRI2017,LAC,0,0,1,0,0,0,0,0,..,27270.67,69.74,1.00,92.53,..,..,..,..,..,..,..,0.00,93.60
Qatar,QAT,2017,QAT2017,MENA,0,0,0,1,1,0,0,0,..,66410.76,65.88,1.01,97.56,8.50,2.10,11.52,2.88,-10.00,..,..,11.29,100.00
Romania,ROU,2017,ROU2017,EECA,0,1,0,0,0,0,0,0,..,10065.49,60.84,1.00,98.21,9.00,3.50,37.56,-1.54,..,27.50,4.50,1.03,100.00
Russian Federation,RUS,2017,RUS2017,EECA,0,1,0,0,0,0,0,0,..,11279.63,67.38,1.00,99.65,7.70,..,8.78,7.05,4.00,37.70,0.30,10.31,96.90
Rwanda,RWA,2017,RWA2017,SSA,0,0,0,0,0,0,1,0,..,738.64,42.12,1.03,64.66,38.50,3.00,10.76,5.73,-3.00,50.40,81.50,6.72,76.10
Samoa,WSM,2017,WSM2017,EAP,1,0,0,0,0,0,0,0,..,3782.40,..,1.00,99.07,17.30,1.30,24.94,1.30,..,42.00,9.70,0.47,99.00
San Marino,SMR,2017,SMR2017,WE,0,0,0,0,0,0,0,1,..,52596.22,..,..,..,2.80,..,..,..,..,..,..,0.00,..
Sao Tome and Principe,STP,2017,STP2017,SSA,0,0,0,0,0,0,1,0,..,1283.89,..,0.99,85.44,33.80,4.00,24.25,5.43,..,30.80,70.10,3.11,97.10
Saudi Arabia,SAU,2017,SAU2017,MENA,0,0,0,1,1,0,0,0,..,21395.36,69.41,1.00,91.37,12.90,11.80,8.28,3.52,-10.00,..,..,23.37,97.00
Senegal,SEN,2017,SEN2017,SSA,0,0,0,0,0,0,1,0,..,1092.25,15.42,0.83,33.60,47.10,5.70,14.16,0.83,7.00,40.30,67.50,5.79,78.50
Serbia,SRB,2017,SRB2017,EECA,0,1,0,0,0,0,0,0,..,5852.38,83.09,1.00,98.23,5.80,3.90,22.28,1.12,8.00,29.10,1.40,1.22,99.20
